NamaPembeli,KelaminInt,Kelamin,MenikahInt,Menikah,TanggunganInt,Tanggungan,PendidikanInt,Pendidikan,PekerjaanInt,Pekerjaan,PendapatanUtamaInt,PendapatanUtama,PemasukanTambahanInt,PemasukanTambahan,JenisPropertiInt,JenisProperti,NUPInt,NUP,BookingFeeInt,BookingFee,BiayaRumahTanah,UangMuka,PeriodeCicilan,RiwayatPinjamanInt,RiwayatPinjaman,PersetujuanPembelianInt,PersetujuanPembelian
Pembeli 118,1,L,1,Ya,3,3,3,SMA,3,POLRI-TNI,2,1jt s.d. <5jt,2,1jt s.d. <5jt,1,Rumah,1,Ya,1,Ya,217000000,51000000,18,1,1,0,tidak
Pembeli 119,1,L,1,Ya,4,3+,2,SMP,5,Buruh Lepas,1,< 1jt,0,0,2,Tanah,0,Tidak,1,Ya,147000000,44000000,18,0,0,1,ya
Pembeli 120,0,P,0,Tidak,0,0,3,SMA,1,Wiraswasta,4,10jt s.d. <20jt,4,10jt s.d. <20jt,1,Rumah,1,Ya,1,Ya,229000000,85000000,18,3,2+,0,tidak
Pembeli 121,1,L,1,Ya,2,2,5,PascaSarjana,3,POLRI-TNI,4,10jt s.d. <20jt,1,< 1jt,2,Tanah,0,Tidak,1,Ya,122000000,14000000,18,1,1,1,ya
Pembeli 122,0,P,0,Tidak,0,0,5,PascaSarjana,5,Buruh Lepas,1,< 1jt,0,0,2,Tanah,1,Ya,1,Ya,103000000,17000000,18,3,2+,0,tidak
Pembeli 123,0,P,0,Tidak,0,0,1,SD,4,Pegawai Swasta,2,1jt s.d. <5jt,1,< 1jt,2,Tanah,1,Ya,1,Ya,128000000,11000000,18,1,1,1,ya
Pembeli 124,1,L,1,Ya,2,2,5,PascaSarjana,5,Buruh Lepas,1,< 1jt,0,0,2,Tanah,1,Ya,1,Ya,112000000,49000000,18,3,2+,0,tidak
Pembeli 125,1,L,1,Ya,0,0,3,SMA,2,PNS,3,5jt s.d. <10jt,1,< 1jt,2,Tanah,1,Ya,1,Ya,130000000,19000000,18,2,2,1,ya
Pembeli 126,0,P,0,Tidak,0,0,5,PascaSarjana,1,Wiraswasta,4,10jt s.d. <20jt,3,5jt s.d. <10jt,2,Tanah,0,Tidak,1,Ya,149000000,44000000,18,3,2+,1,ya
Pembeli 127,0,P,1,Ya,4,3+,5,PascaSarjana,4,Pegawai Swasta,2,1jt s.d. <5jt,1,< 1jt,2,Tanah,0,Tidak,1,Ya,132000000,46000000,18,0,0,0,tidak
Pembeli 128,1,L,0,Tidak,0,0,3,SMA,3,POLRI-TNI,4,10jt s.d. <20jt,2,1jt s.d. <5jt,2,Tanah,1,Ya,1,Ya,148000000,23000000,18,2,2,1,ya
Pembeli 129,1,L,1,Ya,1,1,1,SD,3,POLRI-TNI,3,5jt s.d. <10jt,1,< 1jt,1,Rumah,0,Tidak,1,Ya,215000000,94000000,12,0,0,1,ya
Pembeli 130,1,L,1,Ya,0,0,4,Sarjana,3,POLRI-TNI,4,10jt s.d. <20jt,3,5jt s.d. <10jt,2,Tanah,0,Tidak,1,Ya,146000000,41000000,18,2,2,1,ya
Pembeli 131,1,L,0,Tidak,0,0,2,SMP,2,PNS,4,10jt s.d. <20jt,1,< 1jt,1,Rumah,1,Ya,1,Ya,217000000,64000000,24,1,1,1,ya
Pembeli 132,1,L,0,Tidak,0,0,4,Sarjana,2,PNS,4,10jt s.d. <20jt,3,5jt s.d. <10jt,1,Rumah,0,Tidak,1,Ya,244000000,91000000,18,2,2,1,ya
Pembeli 133,1,L,0,Tidak,0,0,5,PascaSarjana,3,POLRI-TNI,4,10jt s.d. <20jt,1,< 1jt,2,Tanah,1,Ya,1,Ya,133000000,45000000,18,2,2,1,ya
Pembeli 134,1,L,1,Ya,0,0,5,PascaSarjana,3,POLRI-TNI,4,10jt s.d. <20jt,2,1jt s.d. <5jt,2,Tanah,1,Ya,1,Ya,145000000,46000000,12,3,2+,1,ya
Pembeli 135,1,L,0,Tidak,0,0,4,Sarjana,1,Wiraswasta,4,10jt s.d. <20jt,3,5jt s.d. <10jt,2,Tanah,1,Ya,1,Ya,149000000,42000000,18,2,2,1,ya
Pembeli 136,1,L,1,Ya,4,3+,2,SMP,5,Buruh Lepas,1,< 1jt,0,0,2,Tanah,1,Ya,1,Ya,104000000,14000000,18,1,1,0,tidak
Pembeli 137,0,P,1,Ya,0,0,4,Sarjana,3,POLRI-TNI,2,1jt s.d. <5jt,1,< 1jt,2,Tanah,1,Ya,1,Ya,109000000,46000000,18,1,1,1,ya
Pembeli 138,1,L,1,Ya,2,2,5,PascaSarjana,1,Wiraswasta,5,20jt s.d. <30jt,4,10jt s.d. <20jt,1,Rumah,1,Ya,1,Ya,229000000,74000000,18,0,0,1,ya
Pembeli 139,1,L,0,Tidak,0,0,1,SD,4,Pegawai Swasta,2,1jt s.d. <5jt,1,< 1jt,2,Tanah,0,Tidak,1,Ya,126000000,47000000,18,0,0,0,tidak
Pembeli 140,1,L,1,Ya,2,2,4,Sarjana,3,POLRI-TNI,4,10jt s.d. <20jt,1,< 1jt,2,Tanah,0,Tidak,1,Ya,122000000,13000000,18,1,1,1,ya
Pembeli 141,1,L,1,Ya,2,2,5,PascaSarjana,1,Wiraswasta,4,10jt s.d. <20jt,3,5jt s.d. <10jt,2,Tanah,1,Ya,1,Ya,119000000,48000000,18,0,0,1,ya
Pembeli 142,1,L,0,Tidak,0,0,1,SD,5,Buruh Lepas,1,< 1jt,0,0,1,Rumah,1,Ya,1,Ya,250000000,80000000,18,3,2+,0,tidak
Pembeli 143,1,L,0,Tidak,0,0,3,SMA,3,POLRI-TNI,4,10jt s.d. <20jt,2,1jt s.d. <5jt,2,Tanah,0,Tidak,1,Ya,102000000,12000000,12,3,2+,1,ya
Pembeli 144,1,L,1,Ya,0,0,2,SMP,2,PNS,3,5jt s.d. <10jt,3,5jt s.d. <10jt,2,Tanah,1,Ya,1,Ya,141000000,10000000,18,0,0,1,ya
Pembeli 145,1,L,1,Ya,2,2,4,Sarjana,2,PNS,2,1jt s.d. <5jt,2,1jt s.d. <5jt,1,Rumah,1,Ya,1,Ya,204000000,80000000,12,1,1,0,tidak
Pembeli 146,0,P,1,Ya,0,0,4,Sarjana,4,Pegawai Swasta,3,5jt s.d. <10jt,1,< 1jt,2,Tanah,1,Ya,1,Ya,128000000,35000000,18,3,2+,1,ya
Pembeli 147,0,P,1,Ya,2,2,2,SMP,3,POLRI-TNI,2,1jt s.d. <5jt,1,< 1jt,1,Rumah,1,Ya,1,Ya,184000000,97000000,18,2,2,1,ya
Pembeli 148,1,L,1,Ya,1,1,1,SD,4,Pegawai Swasta,2,1jt s.d. <5jt,1,< 1jt,1,Rumah,1,Ya,1,Ya,234000000,56000000,18,1,1,0,tidak
Pembeli 149,0,P,0,Tidak,0,0,4,Sarjana,2,PNS,3,5jt s.d. <10jt,3,5jt s.d. <10jt,2,Tanah,0,Tidak,1,Ya,133000000,46000000,18,0,0,1,ya
Pembeli 150,1,L,1,Ya,0,0,3,SMA,5,Buruh Lepas,1,< 1jt,0,0,2,Tanah,0,Tidak,1,Ya,127000000,17000000,18,2,2,0,tidak
Pembeli 151,1,L,0,Tidak,0,0,2,SMP,1,Wiraswasta,6,> 30jt,4,10jt s.d. <20jt,2,Tanah,1,Ya,1,Ya,105000000,38000000,18,0,0,1,ya
Pembeli 152,1,L,1,Ya,0,0,2,SMP,1,Wiraswasta,5,20jt s.d. <30jt,4,10jt s.d. <20jt,2,Tanah,1,Ya,1,Ya,106000000,50000000,18,1,1,1,ya
Pembeli 153,1,L,0,Tidak,0,0,2,SMP,4,Pegawai Swasta,3,5jt s.d. <10jt,1,< 1jt,1,Rumah,1,Ya,1,Ya,222000000,55000000,18,3,2+,1,ya
Pembeli 154,1,L,1,Ya,2,2,2,SMP,3,POLRI-TNI,3,5jt s.d. <10jt,2,1jt s.d. <5jt,2,Tanah,1,Ya,1,Ya,100000000,44000000,18,0,0,1,ya
Pembeli 155,1,L,0,Tidak,0,0,5,PascaSarjana,1,Wiraswasta,6,> 30jt,3,5jt s.d. <10jt,1,Rumah,0,Tidak,1,Ya,205000000,91000000,18,1,1,1,ya
Pembeli 156,1,L,1,Ya,4,3+,5,PascaSarjana,3,POLRI-TNI,2,1jt s.d. <5jt,3,5jt s.d. <10jt,2,Tanah,1,Ya,1,Ya,106000000,15000000,12,2,2,1,ya
Pembeli 157,1,L,1,Ya,1,1,3,SMA,3,POLRI-TNI,4,10jt s.d. <20jt,2,1jt s.d. <5jt,2,Tanah,1,Ya,1,Ya,142000000,12000000,18,0,0,1,ya
Pembeli 158,1,L,1,Ya,1,1,3,SMA,4,Pegawai Swasta,3,5jt s.d. <10jt,1,< 1jt,1,Rumah,0,Tidak,1,Ya,184000000,96000000,18,2,2,1,ya
Pembeli 159,1,L,0,Tidak,0,0,4,Sarjana,2,PNS,2,1jt s.d. <5jt,3,5jt s.d. <10jt,2,Tanah,0,Tidak,1,Ya,124000000,37000000,18,2,2,0,tidak
Pembeli 160,1,L,1,Ya,0,0,5,PascaSarjana,3,POLRI-TNI,4,10jt s.d. <20jt,1,< 1jt,2,Tanah,1,Ya,1,Ya,128000000,28000000,18,3,2+,1,ya
Pembeli 161,1,L,1,Ya,0,0,3,SMA,1,Wiraswasta,5,20jt s.d. <30jt,3,5jt s.d. <10jt,2,Tanah,0,Tidak,1,Ya,115000000,40000000,18,3,2+,1,ya
Pembeli 162,1,L,1,Ya,0,0,2,SMP,3,POLRI-TNI,4,10jt s.d. <20jt,3,5jt s.d. <10jt,1,Rumah,1,Ya,1,Ya,241000000,72000000,18,2,2,1,ya
Pembeli 163,1,L,1,Ya,1,1,5,PascaSarjana,5,Buruh Lepas,1,< 1jt,0,0,2,Tanah,1,Ya,1,Ya,122000000,42000000,18,3,2+,0,tidak
Pembeli 164,1,L,1,Ya,2,2,5,PascaSarjana,5,Buruh Lepas,1,< 1jt,0,0,2,Tanah,1,Ya,1,Ya,149000000,10000000,18,1,1,0,tidak
Pembeli 165,1,L,1,Ya,0,0,1,SD,5,Buruh Lepas,1,< 1jt,0,0,1,Rumah,1,Ya,1,Ya,195000000,62000000,12,0,0,0,tidak
Pembeli 166,1,L,1,Ya,0,0,1,SD,1,Wiraswasta,4,10jt s.d. <20jt,2,1jt s.d. <5jt,2,Tanah,1,Ya,1,Ya,138000000,30000000,12,2,2,1,ya
Pembeli 167,0,P,1,Ya,0,0,1,SD,5,Buruh Lepas,1,< 1jt,0,0,2,Tanah,1,Ya,1,Ya,117000000,47000000,18,1,1,0,tidak
Pembeli 168,1,L,1,Ya,0,0,5,PascaSarjana,5,Buruh Lepas,1,< 1jt,0,0,2,Tanah,1,Ya,1,Ya,131000000,41000000,18,0,0,0,tidak
Pembeli 169,1,L,0,Tidak,0,0,1,SD,1,Wiraswasta,6,> 30jt,2,1jt s.d. <5jt,2,Tanah,1,Ya,1,Ya,108000000,14000000,24,2,2,1,ya
Pembeli 170,1,L,1,Ya,2,2,5,PascaSarjana,3,POLRI-TNI,4,10jt s.d. <20jt,2,1jt s.d. <5jt,2,Tanah,0,Tidak,1,Ya,112000000,43000000,18,1,1,1,ya
Pembeli 171,1,L,1,Ya,0,0,5,PascaSarjana,4,Pegawai Swasta,2,1jt s.d. <5jt,2,1jt s.d. <5jt,2,Tanah,1,Ya,1,Ya,119000000,39000000,18,1,1,1,ya
Pembeli 172,1,L,1,Ya,4,3+,1,SD,4,Pegawai Swasta,3,5jt s.d. <10jt,1,< 1jt,1,Rumah,1,Ya,1,Ya,213000000,51000000,18,1,1,1,ya
Pembeli 173,1,L,1,Ya,4,3+,3,SMA,2,PNS,4,10jt s.d. <20jt,3,5jt s.d. <10jt,2,Tanah,1,Ya,1,Ya,115000000,26000000,12,2,2,1,ya
Pembeli 174,1,L,1,Ya,0,0,3,SMA,1,Wiraswasta,6,> 30jt,4,10jt s.d. <20jt,2,Tanah,0,Tidak,1,Ya,132000000,47000000,18,3,2+,1,ya
Pembeli 175,1,L,1,Ya,0,0,2,SMP,4,Pegawai Swasta,3,5jt s.d. <10jt,1,< 1jt,2,Tanah,1,Ya,1,Ya,139000000,30000000,18,2,2,1,ya
Pembeli 176,1,L,1,Ya,0,0,1,SD,3,POLRI-TNI,4,10jt s.d. <20jt,1,< 1jt,2,Tanah,1,Ya,1,Ya,107000000,38000000,18,3,2+,1,ya
Pembeli 177,1,L,1,Ya,2,2,3,SMA,1,Wiraswasta,4,10jt s.d. <20jt,2,1jt s.d. <5jt,2,Tanah,0,Tidak,1,Ya,120000000,30000000,18,3,2+,1,ya
Pembeli 178,1,L,1,Ya,4,3+,2,SMP,4,Pegawai Swasta,3,5jt s.d. <10jt,2,1jt s.d. <5jt,2,Tanah,1,Ya,1,Ya,137000000,40000000,18,3,2+,1,ya
Pembeli 179,1,L,1,Ya,1,1,3,SMA,2,PNS,3,5jt s.d. <10jt,2,1jt s.d. <5jt,2,Tanah,1,Ya,1,Ya,105000000,19000000,18,0,0,1,ya
Pembeli 180,1,L,0,Tidak,0,0,2,SMP,1,Wiraswasta,4,10jt s.d. <20jt,4,10jt s.d. <20jt,1,Rumah,1,Ya,1,Ya,190000000,50000000,24,0,0,1,ya
Pembeli 181,1,L,1,Ya,1,1,2,SMP,1,Wiraswasta,6,> 30jt,4,10jt s.d. <20jt,1,Rumah,0,Tidak,1,Ya,198000000,99000000,18,3,2+,1,ya
Pembeli 182,1,L,0,Tidak,0,0,3,SMA,2,PNS,4,10jt s.d. <20jt,1,< 1jt,2,Tanah,0,Tidak,1,Ya,123000000,19000000,18,3,2+,1,ya
Pembeli 183,1,L,1,Ya,0,0,1,SD,5,Buruh Lepas,1,< 1jt,0,0,2,Tanah,1,Ya,1,Ya,116000000,13000000,12,3,2+,0,tidak
Pembeli 184,1,L,1,Ya,1,1,5,PascaSarjana,1,Wiraswasta,3,5jt s.d. <10jt,4,10jt s.d. <20jt,2,Tanah,1,Ya,1,Ya,133000000,38000000,18,0,0,1,ya
Pembeli 185,0,P,1,Ya,0,0,4,Sarjana,5,Buruh Lepas,1,< 1jt,0,0,2,Tanah,1,Ya,1,Ya,143000000,32000000,18,2,2,0,tidak
Pembeli 186,1,L,1,Ya,0,0,3,SMA,5,Buruh Lepas,1,< 1jt,0,0,2,Tanah,1,Ya,1,Ya,148000000,39000000,18,3,2+,0,tidak
Pembeli 187,1,L,1,Ya,1,1,4,Sarjana,2,PNS,3,5jt s.d. <10jt,1,< 1jt,2,Tanah,0,Tidak,1,Ya,108000000,24000000,18,3,2+,1,ya
Pembeli 188,1,L,1,Ya,0,0,4,Sarjana,1,Wiraswasta,6,> 30jt,3,5jt s.d. <10jt,2,Tanah,1,Ya,1,Ya,110000000,23000000,18,2,2,1,ya
Pembeli 189,0,P,1,Ya,0,0,5,PascaSarjana,4,Pegawai Swasta,3,5jt s.d. <10jt,2,1jt s.d. <5jt,2,Tanah,0,Tidak,1,Ya,136000000,19000000,18,3,2+,1,ya
Pembeli 190,1,L,1,Ya,0,0,2,SMP,4,Pegawai Swasta,3,5jt s.d. <10jt,2,1jt s.d. <5jt,2,Tanah,1,Ya,1,Ya,102000000,13000000,12,1,1,1,ya
Pembeli 191,1,L,0,Tidak,0,0,4,Sarjana,4,Pegawai Swasta,2,1jt s.d. <5jt,2,1jt s.d. <5jt,2,Tanah,1,Ya,1,Ya,106000000,25000000,18,2,2,1,ya
Pembeli 192,1,L,0,Tidak,0,0,3,SMA,4,Pegawai Swasta,2,1jt s.d. <5jt,1,< 1jt,2,Tanah,1,Ya,1,Ya,150000000,30000000,18,2,2,1,ya
Pembeli 193,1,L,1,Ya,1,1,5,PascaSarjana,2,PNS,2,1jt s.d. <5jt,2,1jt s.d. <5jt,1,Rumah,0,Tidak,1,Ya,209000000,64000000,18,1,1,1,ya
Pembeli 194,1,L,0,Tidak,0,0,2,SMP,4,Pegawai Swasta,3,5jt s.d. <10jt,1,< 1jt,2,Tanah,1,Ya,1,Ya,150000000,41000000,18,0,0,1,ya
Pembeli 195,1,L,0,Tidak,0,0,3,SMA,1,Wiraswasta,4,10jt s.d. <20jt,4,10jt s.d. <20jt,2,Tanah,1,Ya,1,Ya,125000000,49000000,18,3,2+,1,ya
Pembeli 196,1,L,1,Ya,1,1,2,SMP,1,Wiraswasta,3,5jt s.d. <10jt,3,5jt s.d. <10jt,2,Tanah,1,Ya,1,Ya,117000000,18000000,18,0,0,1,ya
Pembeli 197,1,L,0,Tidak,0,0,2,SMP,1,Wiraswasta,3,5jt s.d. <10jt,2,1jt s.d. <5jt,2,Tanah,1,Ya,1,Ya,145000000,29000000,18,3,2+,1,ya
Pembeli 198,0,P,0,Tidak,0,0,3,SMA,5,Buruh Lepas,1,< 1jt,0,0,1,Rumah,0,Tidak,1,Ya,206000000,96000000,12,0,0,0,tidak
Pembeli 199,0,P,1,Ya,1,1,3,SMA,1,Wiraswasta,4,10jt s.d. <20jt,3,5jt s.d. <10jt,2,Tanah,0,Tidak,1,Ya,105000000,36000000,18,1,1,1,ya
Pembeli 200,1,L,0,Tidak,0,0,3,SMA,5,Buruh Lepas,1,< 1jt,0,0,1,Rumah,1,Ya,1,Ya,214000000,73000000,18,3,2+,0,tidak
Pembeli 201,1,L,1,Ya,1,1,1,SD,5,Buruh Lepas,1,< 1jt,0,0,2,Tanah,0,Tidak,1,Ya,139000000,22000000,18,1,1,0,tidak
Pembeli 202,1,L,0,Tidak,2,2,2,SMP,5,Buruh Lepas,1,< 1jt,0,0,2,Tanah,0,Tidak,1,Ya,138000000,17000000,18,3,2+,0,tidak
Pembeli 203,1,L,1,Ya,4,3+,2,SMP,5,Buruh Lepas,1,< 1jt,0,0,1,Rumah,1,Ya,1,Ya,197000000,59000000,12,2,2,0,tidak
Pembeli 204,1,L,1,Ya,1,1,2,SMP,5,Buruh Lepas,1,< 1jt,0,0,1,Rumah,1,Ya,1,Ya,196000000,89000000,18,2,2,0,tidak
Pembeli 205,1,L,1,Ya,2,2,5,PascaSarjana,3,POLRI-TNI,3,5jt s.d. <10jt,3,5jt s.d. <10jt,2,Tanah,1,Ya,1,Ya,126000000,27000000,18,1,1,1,ya
Pembeli 206,0,P,0,Tidak,0,0,5,PascaSarjana,3,POLRI-TNI,4,10jt s.d. <20jt,3,5jt s.d. <10jt,2,Tanah,1,Ya,1,Ya,142000000,50000000,18,2,2,1,ya
Pembeli 207,0,P,0,Tidak,0,0,4,Sarjana,2,PNS,3,5jt s.d. <10jt,2,1jt s.d. <5jt,1,Rumah,0,Tidak,1,Ya,236000000,57000000,18,1,1,1,ya
Pembeli 208,1,L,0,Tidak,0,0,3,SMA,4,Pegawai Swasta,3,5jt s.d. <10jt,1,< 1jt,2,Tanah,0,Tidak,1,Ya,141000000,32000000,18,1,1,1,ya
Pembeli 209,1,L,0,Tidak,0,0,4,Sarjana,3,POLRI-TNI,3,5jt s.d. <10jt,1,< 1jt,1,Rumah,1,Ya,1,Ya,191000000,73000000,18,1,1,1,ya
Pembeli 210,1,L,0,Tidak,0,0,5,PascaSarjana,1,Wiraswasta,3,5jt s.d. <10jt,2,1jt s.d. <5jt,2,Tanah,0,Tidak,1,Ya,150000000,22000000,18,2,2,1,ya
Pembeli 211,0,P,0,Tidak,0,0,3,SMA,4,Pegawai Swasta,3,5jt s.d. <10jt,1,< 1jt,2,Tanah,1,Ya,1,Ya,140000000,14000000,18,1,1,0,tidak
Pembeli 212,1,L,1,Ya,4,3+,5,PascaSarjana,3,POLRI-TNI,4,10jt s.d. <20jt,2,1jt s.d. <5jt,2,Tanah,1,Ya,1,Ya,105000000,23000000,18,2,2,0,tidak
Pembeli 213,1,L,1,Ya,1,1,5,PascaSarjana,3,POLRI-TNI,4,10jt s.d. <20jt,3,5jt s.d. <10jt,1,Rumah,1,Ya,1,Ya,195000000,93000000,18,2,2,1,ya
Pembeli 214,1,L,1,Ya,4,3+,4,Sarjana,2,PNS,3,5jt s.d. <10jt,2,1jt s.d. <5jt,2,Tanah,0,Tidak,1,Ya,111000000,20000000,18,1,1,1,ya
Pembeli 215,1,L,1,Ya,1,1,2,SMP,5,Buruh Lepas,1,< 1jt,0,0,1,Rumah,1,Ya,1,Ya,188000000,62000000,18,2,2,0,tidak
Pembeli 216,1,L,1,Ya,4,3+,5,PascaSarjana,2,PNS,4,10jt s.d. <20jt,2,1jt s.d. <5jt,2,Tanah,1,Ya,1,Ya,150000000,49000000,18,3,2+,0,tidak
Pembeli 217,1,L,1,Ya,1,1,5,PascaSarjana,4,Pegawai Swasta,2,1jt s.d. <5jt,2,1jt s.d. <5jt,2,Tanah,1,Ya,1,Ya,140000000,23000000,18,0,0,1,ya
Pembeli 218,1,L,1,Ya,1,1,5,PascaSarjana,1,Wiraswasta,5,20jt s.d. <30jt,2,1jt s.d. <5jt,2,Tanah,1,Ya,1,Ya,125000000,26000000,18,2,2,1,ya
Pembeli 219,1,L,1,Ya,2,2,1,SD,1,Wiraswasta,3,5jt s.d. <10jt,3,5jt s.d. <10jt,2,Tanah,1,Ya,1,Ya,141000000,26000000,18,3,2+,0,tidak
Pembeli 220,0,P,1,Ya,2,2,2,SMP,2,PNS,2,1jt s.d. <5jt,1,< 1jt,2,Tanah,1,Ya,1,Ya,147000000,18000000,18,3,2+,1,ya
Pembeli 221,1,L,1,Ya,1,1,2,SMP,4,Pegawai Swasta,2,1jt s.d. <5jt,1,< 1jt,1,Rumah,0,Tidak,1,Ya,188000000,67000000,18,0,0,0,tidak
Pembeli 222,1,L,1,Ya,2,2,3,SMA,3,POLRI-TNI,3,5jt s.d. <10jt,1,< 1jt,2,Tanah,0,Tidak,1,Ya,125000000,45000000,18,0,0,1,ya
Pembeli 223,1,L,0,Tidak,0,0,3,SMA,2,PNS,2,1jt s.d. <5jt,2,1jt s.d. <5jt,2,Tanah,1,Ya,1,Ya,143000000,31000000,18,1,1,1,ya
Pembeli 224,1,L,1,Ya,0,0,3,SMA,4,Pegawai Swasta,2,1jt s.d. <5jt,1,< 1jt,2,Tanah,0,Tidak,1,Ya,110000000,46000000,18,1,1,1,ya
Pembeli 225,1,L,1,Ya,0,0,5,PascaSarjana,1,Wiraswasta,3,5jt s.d. <10jt,3,5jt s.d. <10jt,2,Tanah,0,Tidak,1,Ya,102000000,27000000,18,1,1,1,ya
Pembeli 226,1,L,1,Ya,0,0,1,SD,5,Buruh Lepas,1,< 1jt,0,0,2,Tanah,1,Ya,1,Ya,103000000,38000000,18,2,2,0,tidak
Pembeli 227,1,L,1,Ya,1,1,1,SD,1,Wiraswasta,3,5jt s.d. <10jt,2,1jt s.d. <5jt,1,Rumah,1,Ya,1,Ya,246000000,67000000,18,0,0,1,ya
Pembeli 228,1,L,1,Ya,2,2,3,SMA,1,Wiraswasta,4,10jt s.d. <20jt,3,5jt s.d. <10jt,2,Tanah,1,Ya,1,Ya,148000000,33000000,18,2,2,1,ya
Pembeli 229,1,L,0,Tidak,0,0,5,PascaSarjana,3,POLRI-TNI,3,5jt s.d. <10jt,1,< 1jt,2,Tanah,1,Ya,1,Ya,101000000,37000000,24,3,2+,0,tidak
Pembeli 230,1,L,0,Tidak,0,0,3,SMA,5,Buruh Lepas,1,< 1jt,0,0,2,Tanah,1,Ya,1,Ya,124000000,30000000,12,1,1,0,tidak
Pembeli 231,1,L,1,Ya,1,1,2,SMP,5,Buruh Lepas,1,< 1jt,0,0,2,Tanah,1,Ya,1,Ya,131000000,21000000,12,0,0,0,tidak
Pembeli 232,1,L,1,Ya,0,0,3,SMA,3,POLRI-TNI,3,5jt s.d. <10jt,3,5jt s.d. <10jt,2,Tanah,0,Tidak,1,Ya,139000000,39000000,24,3,2+,1,ya
Pembeli 233,1,L,0,Tidak,0,0,1,SD,5,Buruh Lepas,1,< 1jt,0,0,2,Tanah,1,Ya,1,Ya,128000000,47000000,12,3,2+,0,tidak
Pembeli 234,0,P,0,Tidak,0,0,5,PascaSarjana,1,Wiraswasta,5,20jt s.d. <30jt,3,5jt s.d. <10jt,2,Tanah,1,Ya,1,Ya,134000000,46000000,18,0,0,1,ya
Pembeli 235,1,L,1,Ya,1,1,4,Sarjana,4,Pegawai Swasta,2,1jt s.d. <5jt,1,< 1jt,2,Tanah,0,Tidak,1,Ya,119000000,34000000,18,2,2,1,ya
Pembeli 236,1,L,1,Ya,1,1,1,SD,5,Buruh Lepas,1,< 1jt,0,0,2,Tanah,1,Ya,1,Ya,108000000,20000000,18,3,2+,0,tidak
Pembeli 237,1,L,1,Ya,0,0,5,PascaSarjana,2,PNS,2,1jt s.d. <5jt,1,< 1jt,1,Rumah,1,Ya,1,Ya,203000000,73000000,18,1,1,1,ya
